object_id,display_template,title,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,creator,note,call_number,,
buch_019,record,Musenalmanach für 1782,,Spattered gray paper over boards; spine label.,1782,Musenalmanach für 1782,Hamburg, C. E. Bohn,,,Calendar ; astrology ; music ; poetry ; songs ; stories.,,Voss und Gökingk,v. Döring; Gleim; Jacobi; Lessing; Overbeck; Engelschall; Gökingk; Klopstock; Pfeffel; Voss.,,PT19.M967,,
buch_020,record,Musenalmanach für 1783,,Spattered beige paper over boards; red spattered edges; spine label. ,1783,Musenalmanach für 1783,Hamburg, C. E. Bohn,,,Music ; poetry ; songs ; stories.,,Voss und Gökingk,Engelschall; Gökingk; Klopstock; Overbeck; Reinhard; Gleim; Jacobi; Lessing; Pfeffel; Voss.,,PT19.M967,,
buch_021,record,Musenalmanach für 1784,,Spattered beige paper over boards; spine label. ,1784,Musenalmanach für 1784,Hamburg, C. E. Bohn,,,Music ; poetry ; songs ; stories.,,Voss und Gökingk,"Blumauer; Gleim; Klopstock; Pfeffel; Graf zu Stolberg; Gökingk; Jacobi; Kraut, A. J.; Reichard; Voss.",,PT19.M967,,
buch_022,record,Musenalmanach für 1785,,Spattered gray paper over boards; gilt edges; spine label. ,1785,Musenalmanach für 1785,Hamburg, C. E. Bohn,,,Calendar ; astrology ; music ; poetry ; stories.,,Voss und Gökingk,Amarant; Fischer; Gökingk; Klopstock; Ramler; v. Döring; Gleim; Jacobi; Pfeffel; Voss ,,PT19.M967,,
buch_023,record,Musenalmanach für 1786,,Spattered beige paper over boards; spine label. ,1786,Musenalmanach für 1786,Hamburg, C. E. Bohn,,,Poetry ; stories ; musical scores.,,Voss und Gökingk,Blumauer; Gleim; v. Halem; Overbeck; Sander; Brückner; Gökingk; Klopstock; Pfeffel; Voss,,PT19.M967,,
buch_024,record,Musenalmanach für 1787,,Spattered beige paper over boards; gilt edges; spine label. ,1787,Musenalmanach für 1787,Hamburg, C. E. Bohn,,,Calendar ; astrology ; poetry ; stories ; musical scores.,,Voss und Gökingk,Blumhauer; Gleim; v. Halem; Mattison; Pfeffel; Voss; Engenschall; Gökingk; Kister; Overbeck; Ramler ,,PT19.M967,,
buch_025,record,Musenalmanach für 1788,,Spattered gray paper over boards; spine label. ,1788,Musenalmanach für 1788,Hamburg, C. E. Bohn,,,Calendar ; astrology ; poetry ; essays ; stories.,,Voss und Gökingk,Claudius; Klopstock; Overbeck; Sander; Voss; Gleim; v. Halem; Pfeffel; Klamer Schmidt,,PT19.M967,,
buch_026,record,Musenalmanach für 1789,Former owner's stamp: illegible. ,Spattered beige paper over boards; red spattered edges; spine label. ,1789,Musenalmanach für 1789,Hamburg, C. E. Bohn,,,Calendar ; astrology ; music ; Poetry ; songs ; stories.,,"Voss, J. H.",Blum; Gramberg; Kretschmann; Pfeffel; Tiege; Gleim; Hölty; Overbeck; Klamer Schmidt; Voss,,PT19.M967,,
buch_027,record,Musenalmanach für 1790,,Spattered gray paper over boards; gilt edges; spine label. ,1790,Musenalmanach für 1790,Hamburg, C. E. Bohn,,,Calendar ; humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Gleim; Klopstock; Nicolai; Pfeffel; Spalding; Hinze; Matthison; Overbeck; Klamer Schmidt; Voss.,,PT19.M967,,
buch_028,record,Musenalmanach für 1791,,Spattered beige paper over boards; red spattered edges; spine label. ,1791,Musenalmanach für 1791,Hamburg, C. E. Bohn,,,Humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Cramer; v. Halem; Matthison; Overbeck; Tiege; Gleim; Haug; Nicolay; Klamer Schmidt; Voss.,,PT19.M967,,
buch_029,record,Musenalmanach für 1792,,Spattered gray paper over boards; red spattered edges; spine label.,1792,Musenalmanach für 1792,Hamburg, C. E. Bohn,,,Humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Bürde; v. Halem; Jacobi; v. Nicolai; Pfeffel; Gleim; Haug; Matthison; Overbeck; Voss.,,PT19.M967,,
buch_030,record,Musenalmanach für 1793,,Spattered beige paper over boards; red edges; spine label. ,1793,Musenalmanach für 1793,Hamburg, C. E. Bohn,,,Games ; humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Bürde; v. Halem; Matthison; Pfeffel; Tiege; Gleim; Haug; Overbeck; Schmid K; Voss.,,PT19.M967,,
buch_031,record,Musenalmanach für 1794,,Spattered beige paper over boards; red spattered edges; spine label. ,1794,Musenalmanach für 1794,Hamburg, C. E. Bohn,,,Games ; humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Conz; Gleim; Jacobi; Matthison; Pfeffel; Ebert; Haug; Klopstock; Overbeck; Voss.,,PT19.M967,,
buch_032,record,Musenalmanach für 1795,,Spattered gray paper over boards; spine label. ,1795,Musenalmanach für 1795,Hamburg, C. E. Bohn,,,Calendar ; astrology ; games ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.",Ebert; Haug; Matthison; Schulthess; Voss; Gleim; Karschin; Pfeffel; Tiege.,,PT19.M967,,
