call_number,display_template,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,author,note,,,,,,Formats
PT19.B5,record,Fomer owner's stamp: Kalender Stempel.,Gilt-stamped brown cloth.,1857,Berliner Taschen-Kalender,Berlin, Trowitzsch und Sohn,,,Calendar ; poetry.,,,,,,,,,,
PT19.B54 v.2,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1859,Berthold Auerbach's Deutscher Volkskalender auf das Jahr 1859,Stuttgart & Augsburg, J. G. Cotta,,,Calendar ; humor ; stories ; novella.,,,,,,,,,,
PT19.B55 v.1,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1858,Berthold Auerbach's Deutscher Familienkalender auf das Jahr 1858,Stuttgart & Augsburg, J. G. Cotta,,,Calendar ; stories ; novella ; publisher's announcements.,,,,Prices posted in the back. ,,,,,,
PT19.B54 v.3,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1860,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1860,Leipzig, Ernst Keil,,,Calendar ; humor ; travel ; stories.,,,"Gerstäcker, Friedrich",,,,,,,
PT19.B54 v.4,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1861,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1861,Leipzig, Ernst Keil,,,Calendar ; stories.,,,"Keller, Gott.; Virchow.",,,,,,,
PT19.B54 v.5,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1862,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1862,Leipzig, Ernst Keil,,,Calendar ; stories.,,,"Auerbach, Berth.; Virchow; Engel, Ernst.",,,,,,,
PT19.B54 v.6,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1863,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1863,Leipzig, Ernst Keil,,,Calendar ; stories.,,,"Virchow; Rudolf; Thumann, P.",,,,,,,
PT19.B54 v.7,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1864,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1864,Leipzig, Ernst Keil,,,Calendar ; stories.,,,"Hartmann, M.; Uhlenhuth, E.; Höfer, E. ",,,,,,,
PT19.B54 v.8,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1865,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1865,Leipzig, Ernst Keil,,,Calendar ; stories. ,,,"Hartmann; Holzendorff; Mar Maria v. Weber; Woltmann, A.; Sieler, F. W..",,,,,,,
PT19.B54 v.9,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1866,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1866,Berlin, Ferd. Dümmler's Verlags Buchhandlung,,,Calendar ; stories. ,,,Althaus; Gottfried Keller; Oppenheim; Pritzel; Reitlinger; Steinhal; Woltmann.,,,,,,,
PT19.B54 v.10,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1867,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1867,Berlin, Ferd. Dümmler's Verlags Buchhandlung,,,Calendar ; stories ; essays ; publisher's announcements ; market schedules ; genealogy of the Prussian house.,,,"Pritzel, Georg",,,,,,,
PT19.B54 v.11,record,,"Printed, white wrappers, rewrapped in decorated, woven paper.",1868,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1868,Berlin, Ferd. Dümmler's Verlags Buchhandlung,,,Calendar ; stories ; essays ; science. ,,,"Bamberg, L.; Oppermann, H. A.; Mohr, L.; Woltmann, A..",,,,,,,
Pt19.B54 v.12,record,,"Printed, white wrappers, rewrapped in decorated, woven paper; speckled edges. ",1869,Berthold Auerbach's Deutscher Volks-Kalender auf das Jahr 1869,Berlin, Ferd. Dümmler's Verlags Buchhandlung,,,Calendar ; stories ; music.,,,"Holtzendorf, F. von; Pritzel, G.; Reitlinger, Ed.; Woltmann, F.; Reismann, A..",,,,,,,
PT19.B56 v.3,record,,Rebound in blue cloth. ,1837,Des Bettlers Gabe: Taschenbuch für 1837,Cöslin, E. G. Hendess,,,Russian history. ,,"Müller, Wilhelm ",,,,,,,,
PT19.B56 v.9,record,Former owner's inscription: 11698: L; Fomer owner's stamp: Lincke. ,1/4 calf with brown spattered paste paper over boards; red edges. ,1843,Bettlers Gabe: Taschenbuch für 1843,"Berlin & Stralsund, W. Cornelius",,,,Poetry ; stories.,,"Müller, Wilhelm ",,,,,,,,
PT19.B56 v.11,record,Former owner's inscription: 12253: L; Fomer owner's stamp: Lincke; Manuscript title page; Former owner's stamp: Heims Library. ,1/4 calf with brown spattered paste paper over boards; red edges. ,1845,Bettlers Gabe: Taschenbuch für 1845,"[Berlin & Stralsund, W. Cornelius]",,,,Novella ; poetry ; stories. ,,"Müller, Wilhelm ",,,,,,,,
PT19.B61 v.10,record,,"Embossed pink boards, gilt edges, blue embosed slipcase.",1835,Blüthen der Liebe und Freundschaft. Taschenbuch für 1835,Wien und Leipzig, Friedrich Wilhelm Pfautsch.,,,Calendar ; poetry ; stories ; drama.,6 machine colored engravings. ,,,,,,,,,
PT19.B63 v. 2,record,,"Illustrated brown paper over boards (harlequin motif), gilt edges.",1813,Blüthen Kränzchen: Almanach des Scherzes und der Laune für das Jahr 1813,Wien, Joseph Schwarzbach,,,Calendar ; humor ; market and postal schedules.,5 hand colored engravings. ,,,,,,,,,
PT19.B63 v. 1,record,,"Painted silk-covered boards, gilt edges.",1810,Blüthen Kränzchen: Almanach des Scherzes und der Laune für das Jahr 1814,Wien, Joseph Schwarzbach,,,Calendar ; poetry ; charades ; drama ; embroidery guides. ,19 hand colored engravings. ,,,,,,,,,
PT19.B65,record,,Blue cloth. Rebound. ,1836,Jucunde: Dramatisches Taschenbuch für 1836,Berlin, Theod. Chr. Fr. Enslin,,,Drama.,,"Blum, Carl Ludwig",,,,,,,,
PT19.B72,record,,"Blind-stamped leather, gilt edges",1793,"Der Bote aus Mähren, oder neuer mährisch und schlesischer Stadt und Landmannskalender auf das Jahr nach Christi Geburt 1793, welches ein geimeines Jahr von 365 Tagen ist. ",Brünn, Joseph Georg Trassler,,,Calendar ; history of Silesia ; animal studies ; puzzles ; lists of reigning monarchs.,,,,Large Format,,,,,,
PT19.B8,record,"Former owner's inscription: Bretschneider, Heinrich Gottfried von. 1739-1810.",Decorated blue paper over boards.,1788,Almanach der Beiligen auf jedes Jahr,Rom, zu haben in allen Buchhandlungen Teutschland's [sic],,,Religious satire ; music. Musical scores.,,"Bretschneider, Heinrich Gottfried van",,,,,,,,
PT19.B83,record,Former owner's stamp: No. 2111/37 1801 Rr 320º–,Decorated turqoise paper over boards; gilt edges. ,1801,Brittischer Damenkalender und Taschenbuch für das Jahr 1801,Frankfurt am Main, Jaegerschen Buchhandlung,,,Calendar ; poetry ; stories.,,"Hadermann, W., et al.",,,,,,,,
PT19.C13,record,"Former owner's bookplate: [Ex Libris: DSG: [Jos. G. A. Szalatnay]: Eu. Theol. H.C. nat. 1861; former owner's inscription: [illegible], 26.7.01.","Multi-colored embossed leather, gilt edges, in tooled, handpainted leather slip case with gilt edge and with green paper over boards sleeve within, with small ivory-topped pencil.",1790,Calender auf das Jahr nach Jesu Christi unsers heilandes Geburt 1790,Augspurg [sic], Johann Peter Ebner,,,Calendar ; story ; genealogies of kings ; astronomy.,,,,"Needed for imaging. Copper plates have according poetic descriptions. Unique in this way, the images are a part of the text. ",,,,,,
PT19.C16 v.1,record,,Spattered green paste paper over boards with tooled border; gilt edges,1796,Calender der Musen und Grazien für das Jahr 1796,Leipzig, Haude und Spener,,,Calendar ; music ; poetry ; genealogies of kings. 2 musical scores.,"With clipping in German from ""Ant.-Katalog 363 d. Basler Buch- & Antiquariatshandlung vorm. Ad. Geering. ",,"Schmidt, Friedrich Wilhelm August","Needed for further research. Potentially very interesting, as Goethe wrote a poem specifically directed against (making fun of?) the kind of poetry featured in this editions. Very famous. Perhaps the most famous literary almanach?",,,,,,
PT19.C16 v.2,record,,"Gilt stamped, blue spattered green paste paper over boards.",1797,Calender der Musen und Grazien für das Jahr 1797,Leipzig, Haude und Spener,,,Calendar ; poetry ; genealogies of kings. 2 musical scores. Lacks many engravings.,,,,,,,,,,
PT19.C2 v.1,record,,Blue cloth. Rebound. ,1840,Camellien: Almanach für das jahr 1840,Prag & Berlin, Hennig's Steindruckerei,,,Novellas ; ballads ; stories ; drama.,,"Schirnding, Ferdinand Grafen & Hennig, C. A. F.",,,,,,,,
PT19.C2 supp. ,record,"Former owner's stamp: Photomount Pamphlet Binder: Gaylord Bros. Inc.: Makers: Syracuse, N.Y. Pat. Jan. 21, 1908.",Grey boards. Rebound.,1840,[Camellien]: Musikalisches Souvenir zu ·dem Almanache Camellien,Prag & Berlin, Hennig's Steindruckerei,,,"Musical score ""Die Wasserfei"" with music by Sigmund Goldschmidt and lyrics by Jos. Th. von Gruenwald.",Colored Engravings.,,,,,,,,,
PT19.C4 v.1,record,,Blue boards.,1823,Ceres: Originalien für Zerstreuung und Kunstgenuss.,Wien, Tendler & v. Manstein,,,Poetry ; novellas ; stories ; essays.,,Gräffer,Hell; Castelli. ,,,,,,,
PT19.C4 v.2,record,,Blue boards.,1824,Ceres: Originalien für Zerstreuung und Kunstgenuss.,Wien, Tendler & v. Manstein,,,Poetry ; novellas ; satirical play ; stories.,,Gräffer,Castelli; Saphir. ,,,,,,,
PT19.C46,record,,Illustrated pink paper over boards; gilt edges. ,1811,Charis: Taschenbuch auf das Jahr 1811,Tübingen, J. G. Cotta,,,Poetry ; music ; novella ; essays. 2 musical scores.,,"Lehr, Fr.","De La Motte Fouque, Baron; Lehr, Fr..",,,,,,,
PT19.C47 v.1,record,,Silk brocade over boards; gilt edges; in blue board slip case. ,1834,Charitas: Festgabe.,Regensburg, Friedrich Pustet,,,Poetry ; fables ; parables ; stories ; songs.,,"Schenk, Eduard von",,,,,,,,
PT19.C47 v.2,record,Former owner's inscription: Ex Libris Jos. Walter.,Embossed pink boards; gilt edges; in tan board slip case.,1835,Charitas: Festgabe für 1835,Regensburg, Friedrich Pustet,,,Humor ; poetry ; stories.,,"Schenk, Eduard von","Ludwig of Bavaria; Rückert, Fr.; Aurbacher, Ludwig.",,,,,,,
PT19.C47 v.3,record,,Embossed tan boards; gilt edges; in green board slip case.,1836,Charitas: Festgabe für 1836,Regensburg, Friedrich Pustet,,,Poetry ; stories ; fables ; novella,,"Schenk, Eduard von","Schenk; Ludwig of Bavaria; Rückert, Fr..",,,,,,,
PT19.C47 v.4,record,,Embossed green boards; gilt edges. ,1838,Charitas: Festgabe für 1838,Regensburg, Friedrich Pustet,,,Poetry ; novellas ; stories.,,"Schenk, Eduard von","Schenk; Ludwig of Bavaria; Rückert, Fr.; Beck, Fr..",,,,,,,
PT19.C47 n.s. v.1,record,,Patterned red cloth over boards; black speckled edges; gilt designs on spine. ,1840,Charitas: Festgabe. Neuer Folge,Landshut," Krüll'schen Universitäts-Buchhandlung,",,,Poetry ; novellas.,1841 is written on the spine.,"Schenk, Eduard von","Schenk; Ludwig of Bavaria; Rückert, Fr..",,,,,,,
PT19.C47 n.s. v.2,record,,Patterned red cloth over boards; black speckled edges; gilt designs on spine. ,1842,Charitas: Festgabe für 1842,Regensburg, G. Joseph Manz,,,Poetry ; novellas ; stories.,,"Schenk, Eduard von","Ludwig of Bavaria; Pocci, Graf von; La Motte Fouque; Aurbacher.",,,,,,,
PT19.C47 n.s. v.3,record,,Decorated blue paper over boards; gilt edges; partially rebound. ,1843,Charitas: Festgabe für 1843,Regensburg, G. Joseph Manz,,,Poetry ; novella ; stories.,,"Fernau, Carl.",Schenk; Aurbacher.,,,,,,,
PT19.C47 n.s. v.4,record,,Patterned red cloth over boards; black speckled edges; gilt designs on spine. ,1844,Charitas: Festgabe für 1844,Regensburg, G. Joseph Manz,,,Poetry ; songs ; novella.,,"Fernau, Carl.",Aurbacher; Massmann; Kobell.,,,,,,,
PT19.C47 n.s. v.5,record,Former owner's inscription: [illegible] Vogt.,Patterned red cloth over boards; black speckled edges; gilt designs on spine. ,1845,Charitas: Festgabe für 1845,Regensburg, G. Joseph Manz,,,Poetry ; novella ; stories.,,"Fernau, Carl.","Ludwig of Bavaria; Seuffert, J.A..",,,,,,,
PT19.A88 v.1,record,,Green paper over boards; cream spine with manuscript label. ,1826,Aurora: Ein Taschenbuch für deutsche Töchter und Frauen,Leipzig, Gerhard Fleischer,,,Stories ; poetry.,,"Glatz, Jakob.",,,,,,,,
PT19.A88 v.2,record,,Green cloth. Rebound. ,1827,Aurora: Ein Taschenbuch für deutsche Töchter und Frauen,Leipzig, Gerhard Fleischer,,,Poetry ; stories ; travel (Southern France).,,"Glatz, Jakob.","Goethe, Schiller. ",,,,,,,
PT19.A88 v.3,record,,Blue paper over boards; green edges; manuscript label on spine. ,1828,Aurora: Ein Taschenbuch für deutsche Töchter und Frauen,Leipzig, Gerhard Fleischer,,,Poetry ; letters.,,"Glatz, Jakob.","Goethe, Kant.",,,,,,,
PT19.A89,record,,Decorated pink paper over boards; gilt edges; partially rebound. ,1823,Aurora: Taschenbuch für 1823,Mannheim, Schwan u. Goetz'sche Buchhandlung,,,Poetry ; stories.,,"Bernstein, E., et. al.","Bernstein; Heine; Fouque, L. M..",,,,,,,
PT19.A9 v.4 ,record,,Embossed green boards; gilt edges; partially rebound. ,1827,Aurora: Taschenbuch für das Jahr 1827,Wien, Jos. Riedl's sel. Wittwe,,,Drama ; poetry ; stories. Musical score (2 pp.).,,"Graeffer, Franz.","Feuchtersleben, von",,,,,,,
PT19.A9 v.5,record,,Embossed white cloth over boards; gilt edges.,1828,Aurora: Taschenbuch für das Jahr 1828,Wien, Heinrich Buchholz,,,Poetry ; ballads ; scenes from plays. Musical score (2 pp.).,,"Seidl, Johann Gabriel.","Seidl; Hoffmann, J.F.A..",,,,,,,
PT19.A9 v.6,record,Former owner's inscription inside back cover: [illegible] 1829.,Embossed pink paper over boards; gilt edges. ,1829,Aurora: Taschenbuch für das Jahr 1829,Wien, Heinrich Buchholz,,,Poetry ; novellas ; stories. Musical score (2 pp.).,,"Seidl, Johann Gabriel.",Seidl.,,,,,,,
PT19.A9 v.12,record,Former owner's inscription: [Herrn] [illegible].,Brown and green marbled paper over boards; green speckled edges. ,1836,Aurora: Taschenbuch für das Jahr 1836,Wien, Heinrich Buchholz,,,Tales; Legends; Topographical Essay; Poems.,,"Seidl, Johann Gabriel.",Seidl.,,,,,,,
PT19.A9 v.11,record,Former owner's inscription inside back cover: [illegible].,Green cloth over boards.,1835,Aurora: Taschenbuch für das Jahr 1835,Wien, Heinrich Buchholz,,,Poetry ; ballads ; stories.,,"Seidl, Johann Gabriel.",Seidl.,,,,,,,
PT19.A9 v.13,record,,Embossed pink boards; gilt edges; partially rebound.,1837,Aurora: Taschenbuch für das Jahr 1837,Wien, Heinrich Buchholz,,,Poetry ; humor ; novellas.,,"Seidl, Johann Gabriel.",Seidl.,,,,,,,
PT19.A9 v.14,record,,Green cloth. Rebound. ,1838,Aurora: Taschenbuch für das Jahr 1838,Wien & Leipzig, Franz Riedl's Witwe & A. Liebeskind,,,Poetry ; drama ; novella ; topography.,,"Seidl, Johann Gabriel.",,,,,,,,
PT19.A9 v.15,record,,Decorated cream paper over board with pink rose motif; lavender satin spine,1839,Aurora: Taschenbuch für das Jahr 1839,Wien & Leipzig, Franz Riedl's Witwe & A. Liebeskind,,,Poetry ; novellas ; ballads ; stories.,,"Seidl, Johann Gabriel.",,,,,,,,
PT19.A9 v.16,record,,Tan boards; gilt edges; partially rebound.,1840,Aurora: Taschenbuch für das Jahr 1840,Wien & Leipzig, Franz Riedl's Witwe & A. Liebeskind,,,Poetry ; novellas ; drama. ,Lacks 3 engravings.,"Seidl, Johann Gabriel.",Seidl.,,,,,,,
PT19.A9 v.17,record,,Pink cloth over boards; gilt edges; manuscript spine label. ,1841,Aurora: Taschenbuch für das Jahr 1841,Wien & Leipzig, Franz Riedl's Witwe & A. Liebeskind,,,Romances ; novellas ; ballads ; stories.,,"Seidl, Johann Gabriel.","Seidl; Puff, Gust..",,,,,,,
PT19.A9 v.18,record,Former owner's inscription: [illegible].,Brown cloth over boards; blue spattered edges.,1842,Aurora: Taschenbuch für das Jahr 1842,Wien & Leipzig, Franz Riedl's Witwe & A. Liebeskind,,,Poetry ; novellas.,,"Seidl, Johann Gabriel.",Seidl.,,,,,,,
PT19.A9 v.19,record,,Blue boards; red spattered edges; manuscript spine label.,1843,Aurora: Taschenbuch für das Jahr 1843,Wien & Leipzig, Franz Riedl's Witwe & A. Liebeskind,,,Poetry ; novellas ; stories.,,"Seidl, Johann Gabriel.",,,,,,,,
PT19.A9 v.20,record,,Tooled and gilt maroon cloth over boards; gilt edges. ,1844,Aurora: Taschenbuch für das Jahr 1844,[Wien & Leipzig, Franz Riedl's Witwe & A. Liebeskind],,,Poetry ; novellas ; stories.,Lacks title page. ,,Seidl; Castelli.,,,,,,,
PT19.A9 v.21,record,Former owner's inscription: 3 [illegible]; former owner's stamp: [illegible]; former owner's stamp (repeated): F.H.,White cloth over boards; gilt edges.,1845,Aurora: Taschenbuch für das Jahr 1845,Wien & Leipzig, Franz Riedl's Witwe & A. Liebeskind,,,Poetry ; drama ; novellas ; stories.,,"Seidl, Johann Gabriel.",Seidl; Castelli.,,,,,,,
PT19.A9 v.22,record,,Decorated white paper over boards with gold and blue detailing; gilt edges. ,1846,Aurora: Taschenbuch für das Jahr 1846,Wien & Leipzig, Franz Riedl's Witwe & A. Liebeskind,,,Poetry ; novellas ; stories ; ballads.,,"Seidl, Johann Gabriel.",Seidl; Castelli.,,,,,,,
PT19.A9 v.23,record,Former owner's hospital: Alice Hospital: Darmstadt.,1/2 morocco leather with pebbled black leather; gilt detailing on spine; cloth endpapers.,1847,Aurora: Taschenbuch für das Jahr 1847,Wien & Leipzig, Franz Riedl's sel Witwe u. Sohn & A. Liebeskind.,,,Poetry ; novellas ; stories.,Reflective lettering on title page.,"Seidl, Johann Gabriel.",Seidl; Castelli; Carneri; Frankl.,,,,,,,
PT19.A9 v.24,record,Former owner's bookplate: Bibliothek des J.C.Pickel.,Decorated white paper over boards with gold and blue detailing; gilt edges. ,1848,Aurora: Taschenbuch für das Jahr 1848,Wien & Leipzig, Franz Riedl's sel Witwe u. Sohn & A. Liebeskind.,,,Poetry ; novellas ; stories.,,"Seidl, Johann Gabriel.",Seidl; Castelli; Vogl.,,,,,,,
PT19.A9 v.25,record,,White cloth over boards.,1849,Aurora: Taschenbuch für das Jahr 1849,Wien & Leipzig, Franz Riedl's sel Witwe u. Sohn & A. Liebeskind.,,,Novellas ; stories ; parables.,Lacks 5 engravings.,"Seidl, Johann Gabriel.",Seidl; Castelli.,,,,,,,
PT19.A9 v.26,record,,Illustrated white boards; gilt edges; in pink board slip case.,1850,Aurora: Taschenbuch für das Jahr 1850,Wien & Leipzig, Franz Riedl's sel Witwe u. Sohn & A. Liebeskind.,,,Poetry ; novellas ; stories,,"Seidl, Johann Gabriel.",Seidl; Castelli; Grillparzer; Lenau.,,,,,,,
PT19.A9 v.27,record,,Decorated white paper over boards with gold and blue detailing; gilt edges. ,1851,Aurora: Taschenbuch für das Jahr 1851,Wien & Leipzig, Franz Riedl's sel Witwe u. Sohn & A. Liebeskind.,,,Poetry ; novellas ; stories.,,"Seidl, Johann Gabriel.",Seidl; Castelli; Grillparzer.,,,,,,,
PT19.A9 v.28,record,,Blind tooled purple cloth over boards with gold detailing; gilt edges. ,1852,Aurora: Taschenbuch für das Jahr 1852,Wien & Leipzig, Franz Riedl's sel Witwe u. Sohn & A. Liebeskind.,,,Poetry ; novellas.,,"Seidl, Johann Gabriel.",Seidl; Castelli; Grillparzer.,,,,,,,
PT19.A9 v.30,record,,Gilt stamped blue cloth over boards; gilt edges.,1854,Aurora: Taschenbuch für das Jahr 1854,Wien & Leipzig, Ignaz Lienhart & A.G. Liebeskind,,,Poetry ; novellas.,Lacks 1 engraving. ,"Seidl, Johann Gabriel.",Seidl; Castelli; Raimund; Hebel.,,,,,,,
PT19.A9 v.31,record,,Gilt stamped maroon cloth over boards; gilt edges.,1855,Aurora: Taschenbuch für das Jahr 1855,Wien & Leipzig, Ignaz Lienhart & A.G. Liebeskind,,,Poetry ; novellas ; tales.,,"Seidl, Johann Gabriel.",Castelli; Raimund; Kilzer; Seidl.,,,,,,,
PT19.A9 v.32,record,,Gilt stamped maroon cloth over boards; gilt edges; cloth endpapers. ,1856,Aurora: Taschenbuch für das Jahr 1856,Wien & Leipzig, Ignaz Lienhart & A.G. Liebeskind,,,Poetry ; novellas ; tales.,,"Seidl, Johann Gabriel.",Castelli; Raimund; Seidl; Vogl.,,,,,,,
PT19.A9 v.33,record,,Orange paper over boards.,1857,Aurora: Taschenbuch für das Jahr 1857,Wien & Leipzig, Ignaz Lienhart & A.G. Liebeskind,,,Poetry ; novellas.,,"Seidl, Johann Gabriel.",Castelli; Hammer-Purgstall; Seidl.,,,,,,,
PT19.A9 v.34,record,,Gilt stamped green cloth over boards; gilt edges. ,1858,Aurora: Taschenbuch für das Jahr 1858,Wien & Leipzig, Ignaz Lienhart & A.G. Liebeskind,,,Poetry ; lyrics ; drama ; stories.,,"Seidl, Johann Gabriel.",Raimund; Castelli; Seidl.,,,,,,,
PT19.B16,record,,Embossed cloth (floral motif). ,1836,Bad-Almanach,Stuttgart, S. G. Liesching,,,Essays on travel ; geography ; history.,,"Lewald, August.",Glutzkow; Lewald; Rückert.,Not a Taschenbuch. ,,,,,,
PT19.B22,record,,"Illustrated cream boards (colored floral design), gilt edges, in  soft cream slipcase.",1823,Balsaminen: Ein Taschenbuch für das Jahr 1823,Wien, Friedrich Volke,,,Music ; proverbs ; travel. 1 musical score.,,"Veith, E. J.",,,,,,,,
PT19.B27,record,Former owner's inscription: [illegible].,Papier Coulé Marbled Blue and Green paper over boards; spattered edges; leather spine label.,1802,Barden Almanach der Teutschen für das jahr 1802.,Neu Strelitz, Ferdinand Albanus,,,Calendar ; poetry ; essays ; stories.,,Gräter & Münchhausen.,,,,,,,,
PT19.B38 v.4,record,,Illustrated white boards; placard marbled end papers.,1802,Bergisches Taschenbuch.,Duesseldorf, Dänzer'sche Buchhandlung,,,Calendar ; poetry ; novella.,,"Aschenberg, W.","Arndt, E. M.; Reinwald; Jakobi; Schreiber.",Woodland / Romantic Engravings,,,,,,
PT19.B38 v.7,record,Former owner's bookplate: [J. M. S.] Section Na. Shelf I.,Illustrated tan paper over boards; gilt edges. ,1806,[Bergisches] Taschenbuch.,Dortmund, Gebrüder Mallinckrodt,,,,,"Aschenberg, W.",,,,,,,,
PT19.B44,record,,Multi-colored speckled paste paper over boards. ,1802,Berlinischer Damenkalender auf das Jahr 1802.,Berlin, J. F. Unger,,,Calendar ; stories from Ovid ; genealogies of kings.,,,,Good examples of typical Taschenbücher. ,,,,,,
PT19.B44,record,,Woven paper over boards; gilt edges.,1804,Berlinischer Damenkalender auf das Schalt-Jahr 1802.,Berlin, J. F. Unger,,,Calendar ; stories ; genealogies of kings.,,,,,,,,,,
PT19.B448,record,Former owner's inscription on front of slipcase: [illegible] 1821.,"Red boards, gilt edges, in green paper slipcase.",1821,Berlinischer Taschenkalender auf das Gemein Jahr 1821,Berlin, Königl. Preuss. Kalender Deputation,,,Calendar ; genealogies of kings ; postal schedules ; poetry ; novellas.,Folding 10 piece engraving. ,,,,,,,,,
PT19.B448,record,"Former owner's bookplate: Magna Est Veritas Et Praevalebit: Licht, Liesde, Waarheid: Bibliotheca Dageradiana: A. G. W. Ramaer.",Speckled gray paste paper over boards; red edges; spine label. ,1822,Berlinischer Taschenkalender auf das Gemein Jahr 1822,Berlin, Königl. Preuss. Kalender Deputation,,,Ballads ; drama ; essays ; poetry.,,,"Hoffmann, E.T.A.; Haug.",,,,,,,
PT19.B448,record,,Illustrated pink paper over boards; gilt edges. ,1826,Berlinischer Taschenkalender auf das Gemein Jahr 1826,Berlin, Königl. Preuss. Kalender Deputation,,,Calendar ; novellas ; poetry ; romances ; genealogies of kings ; postal schedules.,,,Haug.,,,,,,,
PT19.B45,record,,Green cloth. Rebound. ,1827,Berlinischer Taschenkalender auf das Gemein Jahr 1827,Berlin, Königl. Preuss. Kalender Deputation,,,Calendar ; history ; novella ; genealogies of kings ; postal schedules.,,,"Buchholz, Fr..",,,,,,,
PT19.C6,record,,Illustrated green paper over boards; gilt edges; in embossed blue slip case with title and publication information.,1839,Christoterpe: Ein Taschenbuch für christliche Leser auf das Jahr 1839,Tübingen, C. F. Osiander,,,Poetry ; history of Jerusalem ; essays.,,"Knapp, Albert.","Hoffmann, W.; Knapp, A.; Major, C. F. ",,,,,,,
PT19.C6,record,Former owner's inscription: [illegible] [Lincke]; former owner's stamp: Heims Library; former owner's stamp: Druck der C. F. Osiander'schen Buchdruckerei.,Illustrated cream paper over boards; gilt edges; in tan slip case.,1840,Christoterpe: Ein Taschenbuch für christliche Leser auf das Jahr 1840,Tübingen, C. F. Osiander,,,Poetry ; aphorisms ; biography of missionary Mary Mercy Ellis.,,"Knapp, Albert.","Barth, Ch.; Osiander; Sack, H..",,,,,,,
PT19.C6,record,,Illustrated cream boards; gilt edges.,1851,Christoterpe: Ein Taschenbuch für christliche Leser auf das Jahr 1851,Heidelberg, Karl Winter,,,Poetry; historical ; philosophical and religious essays.,,,"Barth, G..",,,,,,,
PT19.C7,record,,Turqoise cloth with floral design; gilt edges; in turqoise board slipcase. ,1839,Cölestina: Ein Festgabe für Frauen und Jungfrauen,Aschaffenburg, Theodor Pergay,,,Poetry ; sonnets ; essays ; stories.,,,"Schermer, Franz Jos.",,,,,,,
PT19.C74,record,,1/4 calf with tan paper over boards; gilt edges; spine label. ,1823,Concordia: Erster Jahrgang 1823,Leipzig, Rein'sche Buchhandlung,,,Poetry ; essays ; letters ; plays. ,,,,,,,,,,
PT19.C79,record,Former owner's inscription: [illegible]; former owner's inscription: M. G. Kupfer.,"Red lamb wrap-around case, calf interior with pencil holder; shell marbled end papers; wallet built into back end paper; guilt top and bottom edges. ",1809,Heidelbergisches Taschenbuch,Heidelberg, Joseph Engelmann,,,Poems ; essays ; stories.,,"Schreiber, Aloys.","Overbeck; Buri; Blomberg, V.; Voss, J. H.; Schreiber, Aloys.",Excellent example. Use for photographing.,,,,,,
PT19.C79,record,,Textured red paper over boards; gilt edges; manuscript spine label. ,1812,Heidelbergisches Taschenbuch,Tübingen, J. G. Cotta,,,Poems ; essays ; stories.,,"Schreiber, Aloys.","Schreiber, Aloys.; Conz; Herder; Voss; Bürger; Haug; Lenz.",,,,,,,
PT19.C792,record,,Textured red paper over boards; gilt edges; blind-tooled front and spine. ,1816,Clytie: Taschenbuch für das Jahr 1816,Mannheim, Tobias Loeffler,,,Poetry ; song ; letters ; lectures ; stories. ,,,Haug; Herder; Schreiber.,,,,,,,
PT19.C8 v.1,record,,Illustrated paper over boards; gilt edges.,1816,Cornelia: Taschenbuch für deutsche Frauen auf das Jahr 1816,Heidelberg," Engelmann, Joseph.",,,Poetry ; essays ; stories. ,Lacks 2 engravings.,"Schreiber, Aloys.","Schenkendorf, v.; Schreiber.",,,,,,,
PT19.C8 v.2,record,,Illustrated red paper over boards; gilt edges. ,1817,Cornelia: Taschenbuch für deutsche Frauen auf das Jahr 1817,Heidelberg," Engelmann, Joseph.",,,Poetry ; essays ; songs.,,"Schreiber, Aloys.","Bürger; Schreiber; Schenkendorf; Grimm, A. L..",,,,,,,
PT19.C8 v.3,record,,Illustrated red paper over boards; gilt edges. ,1818,Cornelia: Taschenbuch für deutsche Frauen auf das Jahr 1818,Heidelberg," Engelmann, Joseph.",,,Poetry ; novellas ; essays ; music.,,"Schreiber, Aloys.","Schreiber; Rückert; Voss, J.H.; Helmling; Schenkendorf.",,,,,,,
