call_number,display_template,provenance,binding_description,date,title,location,Publisher,longitude,latitude,subject,local_note,editor,author,note,,,,,,Formats
PT19.T295,record,Former owner's sticker: Ferd. Schöningh Buchhandlung & Antiquarität Osnabrück,Green paper over boards; red edges; red water color on inside of back cover.,,Taschenbuch für Frauenzimmer,Berlin, Gottlieb August Lange,13.4050,52.5200,Poetry ; Essays ; Cooking and Dancing Instruction,,"Müchler, Karl",Müchler,,,,,,,
PT19.T28,record,,Gold stamped red Morocco over boards; gilt edges; red cloth end papers.,1787,Taschenbuch für Grabennymphen auf das Jahr 1787,[Wien], Paul Knepler,,,Satire,A 1910 facsimile of the original 1787 edition. ,,,,,,,,,
PT19.M967,record,,Spattered beige paper over boards; spine label. ,1776,Musenalmanach für 1776,Lauenberg, Berenberg,,,Calendar ; Astrology ; poetry ; songs with music ; fables ; stories ; history of freemasonry,,"Voss, J. H.",Brückner; Claudius; Klopstock; Miller J.M.; Eber J.A.; Bürger; Hölty; Pfeffel; Müller; Voss J. H.,,,,,,,
PT19.M967,record,,Spattered gray paper over boards; red edges; spine label.,1777,Musenalmanach für 1777,Hamburg, C. E. Bohn,,,Calendar ; astrology ; humor ; music ; proverbs ; poetry ; songs ; stories.,,"Voss, J. H.","Brückner; Claudius; Göckingk; Klopstock; Schmidt, K. E.; Bürger; Gleim; Hölty; Pfeffel; Voss, J. H.",,,,,,,
PT19.M967,record,,Spattered beige paper over boards; red spattered edges; spine label. ,1778,Musenalmanach für 1778,Hamburg, C. E. Bohn,,,Humor ; proverbs ; poetry ; songs ; stories,,"Voss, J. H.","Andre, Joh.; Bürger; G. A. Hölty; Lenz, J.M; Pfeffel; Brückner; Göckingk; Klopstock; Overbeck; Voss.",,,,,,,
PT19.M967,record,,Spattered beige paper over boards; red spattered edges; spine label. ,1779,Musenalmanach für 1779,Hamburg, C. E. Bohn,,,Poetry ; songs ; music. ,,"Voss, J. H.",Amabank; v. Döring; Gökingk; Jacobi; Pfeffel; Brückner; Gleim; Hölty; Klopstock; Voss.,,,,,,,
PT19.M967,record,,Spattered beige paper over boards; spine label. ,1780,Musenalmanach für 1780,Hamburg, C. E. Bohn,,,Calendar ; music ; poetry ; songs ; stories.,Pages torn out of calendar section,Voss und Gökingk,"v. Döring; Gleim; Jacobi; Mendelsohn, M.; Sangerhausen; Gatterer; Gökingk; Lessing; Pfeffel.",,,,,,,
PT19.M967,record,,Yellow paper over boards; gilt edges; spine label. ,1781,Musenalmanach für 1781,Hamburg, C. E. Bohn,,,Calendar ; astrology ; music ; poetry ; songs ; stories.,,Voss und Gökingk,Blum; Engenschall; Klopstock; Pfeffel; Voss; v. Döring; Gleim; Overbeck; Sangerhausen; Campe.,,,,,,,
PT19.M967,record,,Spattered gray paper over boards; spine label.,1782,Musenalmanach für 1782,Hamburg, C. E. Bohn,,,Calendar ; astrology ; music ; poetry ; songs ; stories.,,Voss und Gökingk,v. Döring; Gleim; Jacobi; Lessing; Overbeck; Engelschall; Gökingk; Klopstock; Pfeffel; Voss.,,,,,,,
PT19.M967,record,,Spattered beige paper over boards; red spattered edges; spine label. ,1783,Musenalmanach für 1783,Hamburg, C. E. Bohn,,,Music ; poetry ; songs ; stories.,,Voss und Gökingk,Engelschall; Gökingk; Klopstock; Overbeck; Reinhard; Gleim; Jacobi; Lessing; Pfeffel; Voss.,,,,,,,
